brand,title,type,price,available,sold,total_amount,genre,lastUpdate,country,state,city
Ralph Lauren,Polo Double Black 4.2 oz by Ralph Lauren Mens Eau De Toilette Spray New & Sealed,Eau de Toilette,34.99,7.0,225.0,7872.75,man,24-5-2024,United States,Michigan,Highland Park
Carolina Herrera,CHROME by Loris Azzaro  3.3 / 3.4 oz EDT Cologne For Men New Spray tester,Eau de Toilette,26.97,33.0,424.0,11435.28,man,21-5-2024,United States,Texas,Dallas
Dolce & Gabbana,DOLCE & GABBANA ~ THE ONE EAU DE PARFUM SPRAY For Men 3.3 OZ 100 Ml White Box,Eau de Parfum,54.99,2.0,22.0,1209.78,man,23-5-2024,United States,Texas,Melissa
Versace,Versace Man Fraiche EDT Spray 3.4 oz / 100 ml New In Box Free Shipping,Eau de Toilette,30.0,2.0,270.0,8100.0,man,24-5-2024,United States,California,Carlsbad
Dolce & Gabbana,New In Box Eau De Parfum Aventus 3.3 /OZ 100 ML Spray For men,Eau de Parfum,189.99,2.0,32.0,6079.68,man,24-5-2024,United States,New York,Livingston Manor
Ralph Lauren,MOROCCO BY SUPERZ BUDAPEST 50ML/ 1.69 OZ EXTRAIT DE PARFUM USA SELLER,Eau de Parfum,125.0,10.0,28.0,3500.0,man,23-5-2024,United States,Florida,Hollywood
Ralph Lauren,Polo Red by Ralph Lauren EDT for Men 4.2 oz - 125 ml NEW IN BOX SEALED,Eau de Toilette,29.99,8.0,169.0,5068.31,man,24-5-2024,United States,Nevada,Laughlin
Paco Rabanne,XS by Paco Rabanne cologne for men EDT 3.3 / 3.4 oz New Tester,Eau de Toilette,28.91,48.0,849.0,24544.59,man,24-5-2024,United States,Texas,Dallas
Unbranded,SEALED NEW CUPID 2.0 HYPNOSIS MEN’S PHEROMONE COLOGNE 1.7 OZ MEET MORE HOT WOMEN,Eau de Parfum,15.99,10.0,14.0,223.86,man,24-5-2024,United States,Texas,Houston
Giorgio Armani,VERSACE L' HOMME edt 3.3 / 3.4 oz Cologne for Men New in Box,Eau de Toilette,25.43,116.0,1925.0,48952.75,man,24-5-2024,United States,Texas,Dallas
Dolce & Gabbana,D&G DOLCE & GABBANA LIGHT BLUE EAU INTENSE MEN 1.5ml .05oz x 5 COLOGNE SAMPLES,Eau de Parfum,11.0,10.0,702.0,7722.0,man,05-4-2024,United States,New York,Albany
Versace,SAUVAGE by Christian Dior For Men PARFUM 6.8 oz / 200 ml *NEW IN SEALED BOX*,Eau de Parfum,161.99,10.0,129.0,20896.71,man,13-5-2024,United States,Florida,Miami
Dolce & Gabbana,Dolce & Gabbana 4.2oz Intenso EDP Sealed Men's Cologne,Eau de Parfum,40.99,10.0,16.0,655.84,man,24-5-2024,United States,Michigan,Detroit
Giorgio Armani,DIESEL ONLY THE BRAVE STREET by DIESEL cologne EDT 2.5 oz New,Eau de Toilette,17.0,6.0,147.0,2499.0,man,18-5-2024,United States,Texas,Dallas
Dolce & Gabbana,Dolce & Gabbana Light Blue Eau Intense 6.7 oz. EDP Spray for Men. New in Box,Eau de Parfum,65.97,10.0,37.0,2440.89,man,24-5-2024,United States,Texas,Katy
Giorgio Armani,Lacoste Eau De Toilette L.12.12 Blanc Cologne 3.3 oz/ 100ml for Men,Eau de Toilette,36.68,10.0,9.0,330.12,man,22-5-2024,United States,Texas,Austin
Paco Rabanne,Paco Rabanne 1 Million Men's Fragrance EDT Cologne 3.4 oz 100 ml New in Box,Eau de Toilette,49.99,10.0,165.0,8248.35,man,24-5-2024,United States,Kentucky,Flat Lick
Dolce & Gabbana,Burberry Men's Hero EDP Spray 3.4 oz Fragrances 3614228838016,Fragrances,77.07,3.0,55.0,4238.85,man,23-5-2024,United States,New York,Brooklyn
Giorgio Armani,Acqua Di Gio by Giorgio Armani EDT Men 6.7 oz / 200 ml *NEW IN SEALED BOX*,Eau de Toilette,64.99,10.0,235.0,15272.65,man,08-5-2024,United States,Florida,Miami
